CustomerID,Age,Gender,Tenure_Months,Recency_Days,Frequency,Monetary_Value,Support_Calls,Churn
CUST_00001,56,Female,27,17,4,586.75,5,0
CUST_00002,69,Female,32,170,117,6183.46,4,0
CUST_00003,46,Female,61,175,66,8232.69,5,0
CUST_00004,32,Female,25,74,33,2768.47,5,0
CUST_00005,60,Female,64,240,73,3089.8,3,0
CUST_00006,25,Female,64,96,35,3936.15,6,0
CUST_00007,38,Female,28,2,38,3417.87,8,0
CUST_00008,56,Female,40,202,95,8261.15,6,0
CUST_00009,36,Female,14,37,78,1484.87,5,0
CUST_00010,40,Male,42,91,57,3423.94,2,0
CUST_00011,28,Female,39,233,95,10847.61,5,0
CUST_00012,28,Female,2,147,33,4041.57,7,0
CUST_00013,41,Female,1,297,44,5499.95,7,1
CUST_00014,53,Male,32,253,53,1062.55,3,0
CUST_00015,57,Female,64,212,80,2957.28,4,0
CUST_00016,41,Male,31,64,20,2961.06,3,0
CUST_00017,20,Female,58,5,63,2267.07,1,0
CUST_00018,39,Female,14,146,51,2231.61,4,0
CUST_00019,19,Male,69,72,114,14062.39,0,0
CUST_00020,41,Female,16,105,14,953.6,1,0
CUST_00021,61,Male,69,330,35,1074.59,6,0
CUST_00022,47,Male,54,36,110,3507.65,4,0
CUST_00023,55,Female,13,147,113,2973.02,9,0
CUST_00024,19,Male,31,256,45,1772.56,7,0
CUST_00025,38,Male,69,228,33,2709.06,5,0
CUST_00026,50,Male,21,349,61,1039.13,7,1
CUST_00027,29,Male,30,279,93,2865.58,1,0
CUST_00028,39,Female,23,113,72,9897.24,7,0
CUST_00029,61,Female,38,11,53,7066.94,8,0
CUST_00030,42,Female,29,194,98,12491.65,7,1
CUST_00031,66,Male,32,224,115,12690.02,6,0
CUST_00032,44,Male,62,250,111,11577.9,7,0
CUST_00033,59,Male,45,249,78,4071.18,1,0
CUST_00034,45,Female,49,351,78,4697.49,5,0
CUST_00035,33,Female,33,269,50,2341.66,6,1
CUST_00036,32,Female,4,342,15,2210.14,8,1
CUST_00037,64,Female,18,291,42,4226.51,2,0
CUST_00038,68,Female,70,83,114,16573.16,5,0
CUST_00039,61,Female,64,29,20,1033.82,7,0
CUST_00040,69,Female,28,339,92,9095.42,3,0
CUST_00041,20,Male,58,80,68,7987.17,4,0
CUST_00042,54,Male,56,95,7,194.53,1,0
CUST_00043,68,Female,20,259,66,6932.62,9,1
CUST_00044,24,Female,34,122,73,2761.21,6,0
CUST_00045,38,Female,10,124,23,1363.7,7,1
CUST_00046,26,Male,22,23,36,4020.5,5,0
CUST_00047,56,Male,5,216,12,892.9,8,0
CUST_00048,35,Female,44,289,23,3205.21,2,0
CUST_00049,21,Female,9,92,95,4518.42,8,0
CUST_00050,42,Male,43,24,106,3790.61,8,0
CUST_00051,31,Female,4,107,11,665.7,8,1
CUST_00052,67,Male,42,306,1,130.01,5,1
CUST_00053,26,Male,65,52,77,9963.98,8,0
CUST_00054,43,Female,41,199,39,2529.39,6,0
CUST_00055,19,Female,64,294,93,11562.57,7,0
CUST_00056,37,Male,55,300,70,1785.1,7,1
CUST_00057,45,Male,18,345,31,496.81,7,0
CUST_00058,64,Female,16,56,9,1185.74,2,0
CUST_00059,24,Male,46,194,56,7447.98,5,0
CUST_00060,61,Female,36,45,18,618.46,6,0
CUST_00061,25,Female,66,343,59,3256.29,3,0
